value,description,value_rcl,description_rcl
0,Non-agricultural land,19,non-agricultural land (geen landbouwgrond)
24,"Bos, blijvend, met herplantplicht",19,non-agricultural land (geen landbouwgrond)
39,"Bos, zonder herplantplicht",19,non-agricultural land (geen landbouwgrond)
41,Overige natuurterreinen,19,non-agricultural land (geen landbouwgrond)
44,Bos (set aside regeling),19,non-agricultural land (geen landbouwgrond)
50,Bos (SBL-regeling),19,non-agricultural land (geen landbouwgrond)
71,Woudbomen met korte omlooptijd,19,non-agricultural land (geen landbouwgrond)
74,Dummycode voor dummypercelen,19,non-agricultural land (geen landbouwgrond)
1,"Grasland, blijvend",2,grassland (grasland)
2,"Grasland, tijdelijk",2,grassland (grasland)
13,Luzerne,2,grassland (grasland)
27,Graszaad (inclusief klaverzaad),2,grassland (grasland)
31,"Grasland, natuurlijk",2,grassland (grasland)
40,"Groenbemesters, niet-vlinderbloemige",2,grassland (grasland)
46,Graszoden,2,grassland (grasland)
62,"Groenbemesters, vlinderbloemige",2,grassland (grasland)
4,"Mais, snij-",21,maize (mais)
5,"Mais, korrel-",21,maize (mais)
29,"Mais, suiker-",21,maize (mais)
48,"Mais, corncob mix",21,maize (mais)
64,"Mais, energie-",21,maize (mais)
6,"Tarwe, winter-",20,cereals (granen)
9,"Tarwe, zomer-",20,cereals (granen)
15,Rogge (geen snijrogge),20,cereals (granen)
20,"Gerst, winter-",20,cereals (granen)
22,"Gerst, zomer-",20,cereals (granen)
23,Overige akkerbouwgewassen,20,cereals (granen)
35,Triticale,20,cereals (granen)
36,"Granen, overig",20,cereals (granen)
56,Haver,20,cereals (granen)
7,"Aardappelen, consumptie op klei/loessgrond",22,potatoes (aardappelen)
14,"Aardappelen, poot op klei/loessgrond",22,potatoes (aardappelen)
21,"Aardappelen, zetmeel",22,potatoes (aardappelen)
26,"Aardappelen, consumptie op zand/veengrond",22,potatoes (aardappelen)
33,"Aardappelen, poot op zand/veengrond",22,potatoes (aardappelen)
51,"Aardappelen, bestrijdingsmaatregel AM",22,potatoes (aardappelen)
10,"Uien, poot en plant (incl. sjalotten)",28,vegetables (groenten)
12,"Uien, zaai-",28,vegetables (groenten)
16,Groenten open grond (inclusief groentezaden),28,vegetables (groenten)
18,Cichorei,28,vegetables (groenten)
11,"Bieten, suiker-",23,beetroot (bieten)
57,"Bieten, voeder- (inclusief aardperen)",23,beetroot (bieten)
25,Blauwmaanzaad,29,oil-producing plants (plantaardige olie)
32,"Koolzaad, winter (ook boterzaad)",29,oil-producing plants (plantaardige olie)
37,"Hennep, vezel-",29,oil-producing plants (plantaardige olie)
49,Zonnebloemen,29,oil-producing plants (plantaardige olie)
55,Vezelvlas,29,oil-producing plants (plantaardige olie)
58,"Koolzaad, zomer (ook boterzaad)",29,oil-producing plants (plantaardige olie)
67,Raapzaad,29,oil-producing plants (plantaardige olie)
73,Lijnzaad niet van vezelvlas (olievlas),29,oil-producing plants (plantaardige olie)
28,"Bonen, bruine",30,beans (boonen)
42,"Erwten, groene/gele, groen te oogsten",30,beans (boonen)
43,"Bonen, tuin- (groen te oogsten)",30,beans (boonen)
53,"Bonen, tuin- (droog te oogsten) (geen consumptie)",30,beans (boonen)
60,Kapucijners (en grauwe erwten),30,beans (boonen)
65,"Bonen, veld-(oa duive-, paarde-, wierbonen)(droog te oogsten",30,beans (boonen)
68,Sojabonen,30,beans (boonen)
69,Erwten inclusief schokkers (droog te oogsten),30,beans (boonen)
72,"Lupinen, niet bittere-",30,beans (boonen)
17,Bloembollen en - knollen,24,flower bulbs (bloembollen)
19,Bloemkwekerijgewassen (inclusief bloemzaden),24,flower bulbs (bloembollen)
54,"Tagetes (zand, loss) (geen groene braak)",24,flower bulbs (bloembollen)
3,Boomkwekerij en vaste planten,8,horticulture/fruits (boomgaard)
8,Fruit,8,horticulture/fruits (boomgaard)
52,Notenbomen,8,horticulture/fruits (boomgaard)
30,"Faunaranden, bouwland",13,fallow (braakland)
34,"Onbeteelde grond, tijdelijk",13,fallow (braakland)
38,"Faunaranden, grasland",13,fallow (braakland)
45,"Braak, natuur-",13,fallow (braakland)
47,Miscanthus (olifantsgras),13,fallow (braakland)
59,Braak met bos (SBL-regeling na 28 juni 1995),13,fallow (braakland)
61,Heide,13,fallow (braakland)
63,Onbeteelde grond door een teeltverbod/ontheffing,13,fallow (braakland)
66,Karwijzaad (oogst dit jaar),13,fallow (braakland)
70,Onbekend/gewas niet opgegeven,13,fallow (braakland)
