value,description,value_rcl,description_rcl
1,aanlegsteiger,7,urban (bebouwd gebied)
3,"basaltblokken, steenglooiing",7,urban (bebouwd gebied)
2,akkerland,3,arable land (bouwland)
4,bebouwd gebied,7,urban (bebouwd gebied)
11,dodenakker,7,urban (bebouwd gebied)
12,dodenakker met bos,7,urban (bebouwd gebied)
20,spoorbaanlichaam,7,urban (bebouwd gebied)
5,boomgaard,8,horticulture/fruits (boomgaard)
6,boomkwekerij,8,horticulture/fruits (boomgaard)
13,fruitkwekeij,8,horticulture/fruits (boomgaard)
7,bos: gemengd bos,6,mixed forest (gemengd bos)
8,bos: griend,6,mixed forest (gemengd bos)
9,bos: loofbos,4,deciduous forest (loofbos)
19,populieren,4,deciduous forest (loofbos)
10,bos: naaldbos,5,coniferous forest (naaldbos)
14,grasland,2,grassland (grasland)
15,heide,10,heathlands (heide)
0,other,16,other/unknown (overig/onbekend)
17,onbekend,16,other/unknown (overig/onbekend)
18,overig,16,other/unknown (overig/onbekend)
21,zand,12,sand (zand)
