value,description,value_rcl,description_rcl
0,Western strip of raster no longer NL,,
1,Riviervlakte en beekdalen,1,Riviervlakte en beekdalen
2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP",2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
3,"Pleistocene zandgebieden, boven 0 m. NAP",3,"Pleistocene zandgebieden, boven 0 m. NAP"
4,Rivierduinen,4,Rivierduinen
5,Kwelders en riviervlakten,5,Kwelders en riviervlakten
6,Strandwallen en lage duinen,6,Strandwallen en lage duinen
7,Veengebied,7,Veengebied
8,Buitenwater,30,Water
9,Wadden en slikken,9,Wadden en slikken
11,Binnenwater,30,Water
12,Strandvlakten en duinvalleien,12,Strandvlakten en duinvalleien
13,Buitenland,,
14,Loessgebied,14,Loessgebied
15,Gebieden met Tertiaire en oudere afzettingen,15,Gebieden met Tertiaire en oudere afzettingen
16,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen",16,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
17,Gebieden met kwelderwallen en -ruggen,17,Gebieden met kwelderwallen en -ruggen
