value,description,value_rcl,description_rcl
0,Western strip of raster no longer NL,,
1,Riviervlakte en beekdalen,1,Riviervlakte en beekdalen
2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP",2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
3,"Pleistocene zandgebieden, boven 0 m. NAP",3,"Pleistocene zandgebieden, boven 0 m. NAP"
4,Rivierduinen,4,Rivierduinen
5,Strandwallen en lage duinen,5,Strandwallen en lage duinen
6,Wadden en slikken,6,Wadden en slikken
7,Kwelders en riviervlakten,7,Kwelders en riviervlakten
8,Veengebied,8,Veengebied
9,Binnenwater,30,Water
10,Strandvlakten en duinvalleien,10,Strandvlakten en duinvalleien
11,Buitenland,,
12,Loessgebied,12,Loessgebied
13,Gebieden met Tertiaire en oudere afzettingen,13,Gebieden met Tertiaire en oudere afzettingen
14,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen",14,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
15,"Pleistocene zandgebieden, beneden 16 m. -NAP",2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
16,Buitenwater,30,Water
17,Gebieden met kwelderwallen en -ruggen,17,Gebieden met kwelderwallen en -ruggen
