value,description,value_rcl,description_rcl
0,Western strip of raster no longer NL,,
1,Riviervlakte en beekdalen,1,Riviervlakte en beekdalen
2,"Pleistocene zandgebieden, boven 0 m. NAP",2,"Pleistocene zandgebieden, boven 0 m. NAP"
3,Kwelders en riviervlakten,3,Kwelders en riviervlakten
4,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP",4,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
5,Wadden en slikken,5,Wadden en slikken
6,Veengebied,6,Veengebied
7,Rivierduinen,7,Rivierduinen
8,Strandwallen en lage duinen,8,Strandwallen en lage duinen
9,Buitenland,,
10,Buitenwater,30,Water
11,Loessgebied,11,Loessgebied
12,Gebieden met Tertiaire en oudere afzettingen,12,Gebieden met Tertiaire en oudere afzettingen
13,Binnenwater,30,Water
14,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen",14,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
