value,description,value_rcl,description_rcl
0,Western strip of raster no longer NL,,
1,Riviervlakte en beekdalen,1,Riviervlakte en beekdalen
2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP",2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
3,"Pleistocene zandgebieden, boven 0 m. NAP",3,"Pleistocene zandgebieden, boven 0 m. NAP"
4,Strandwallen en lage duinen,4,Strandwallen en lage duinen
5,Wadden en slikken,5,Wadden en slikken
6,Bedijkte kwelders en riviervlakten,6,Bedijkte kwelders en riviervlakten
7,Kwelders en riviervlakten,7,Kwelders en riviervlakten
8,Stedelijk gebied,6,Bedijkte kwelders en riviervlakten
9,Rivierduinen,9,Rivierduinen
10,Veengebied,10,Veengebied
11,Hoge duinen,11,Hoge duinen
12,Binnenwater,30,Water
13,Strandvlakten en duinvalleien,13,Strandvlakten en duinvalleien
14,Buitenland,,
15,Loessgebied,15,Loessgebied
16,Gebieden met Tertiaire en oudere afzettingen,16,Gebieden met Tertiaire en oudere afzettingen
17,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen",17,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
18,Buitenwater,30,Water
19,Gebieden met kwelderwallen en -ruggen,19,Gebieden met kwelderwallen en -ruggen
