value,description,value_rcl,description_rcl
0,Western strip of raster no longer NL,,
1,Riviervlakte en beekdalen,1,Riviervlakte en beekdalen
2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP",2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
3,"Pleistocene zandgebieden, boven 0 m. NAP",3,"Pleistocene zandgebieden, boven 0 m. NAP"
4,Strandwallen en lage duinen,4,Strandwallen en lage duinen
5,Wadden en slikken,5,Wadden en slikken
6,Bedijkte kwelders en riviervlakten,6,Bedijkte kwelders en riviervlakten
7,Kwelders en riviervlakten,7,Kwelders en riviervlakten
8,Stedelijk gebied,6,Bedijkte kwelders en riviervlakten
9,Stuifzand,9,Stuifzand
10,Veengebied,10,Veengebied
11,Rivierduinen,11,Rivierduinen
12,Hoge duinen,12,Hoge duinen
14,Droogmakerij,14,Droogmakerij
15,Strandvlakten en duinvalleien,15,Strandvlakten en duinvalleien
16,Binnenwater,30,Water
17,Buitenland,,
18,Loessgebied,18,Loessgebied
19,Gebieden met Tertiaire en oudere afzettingen,19,Gebieden met Tertiaire en oudere afzettingen
20,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen",20,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
21,Buitenwater,30,Water
22,Gebieden met kwelderwallen en -ruggen,7,Kwelders en riviervlakten
